timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,water_temp,setpoint_temp,mode,heater_on
2025-10-03T17:17:16.789753,100,63,43,73,73,74,10,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:17.787199,100,63,43,73,73,74,11,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:18.786599,100,63,43,73,73,74,12,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:19.787818,100,63,43,73,73,74,13,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:20.792971,100,63,43,73,73,74,14,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:21.790448,100,63,43,73,73,74,15,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:22.788058,100,63,43,73,73,74,16,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:23.788618,100,63,43,73,73,74,17,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:24.787776,100,63,43,73,73,74,18,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:25.790322,100,63,43,73,73,74,19,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:26.792547,100,63,43,73,73,74,20,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:27.790352,100,63,43,73,73,74,21,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:28.788677,100,63,43,73,73,74,22,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:29.795135,100,63,43,73,73,74,23,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:30.790009,100,63,43,73,73,74,24,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:31.791910,100,63,43,73,73,74,25,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:32.790072,100,63,43,73,73,74,26,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:33.794617,100,63,43,73,73,74,27,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:34.789593,100,63,43,73,73,74,28,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:35.793001,100,63,43,73,73,74,29,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:36.791480,100,63,43,73,73,74,30,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:37.791005,100,63,43,73,73,74,31,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:38.790239,100,63,43,73,73,74,32,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:39.792475,100,63,43,73,73,74,33,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:40.792242,100,63,43,73,73,74,34,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:41.792845,100,63,43,73,73,74,35,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
2025-10-03T17:17:42.790933,100,63,43,73,73,74,36,10,20,4,1,0,5,0,13,0,17,0,8,193,0,0,169,64,73,0,0,36.5,37.0,SL,True
